cage;feed;treatment;feedtreat;dissection;feedtreatday;fd2;fd6;fd8;fd12;fd16;fd21;wd2;wd4;wd5;wd6;wd8;wd11;wd12;wd15;wd16;wd21;tot_water_in;tot_water_out;tot_water_consumption;number_days;water_cage_day_avr_g;tot_feed_in;tot_feed_out;tot_feed_consumption;feed_cage_day_avr_g;cal_cage_day_avr_g;bw_cage_avr_g;bw_gain_cage_avr_g;cal_bw_kg;water_bw_kg
1;LF;CTRL;LF_CTRL;d08;LF_CTRL_d08;99,0;194,0;51,0;;;;166,8;238,0;;140,0;123,0;;;;;;1962,8;1295;667,8;8;83,475;460;116;344;43,000;172,000;333,750;57,5;515,356;250,112
2;LF;CTRL;LF_CTRL;d08;LF_CTRL_d08;81,0;167,0;55,0;;;;86,0;;;201,0;79,0;;;;;;1516;1150;366;8;45,750;489;186;303;37,875;151,500;287,444;57;527,058;159,161
3;LF;CTRL;LF_CTRL;d08;LF_CTRL_d08;81,0;178,0;20,0;;;;102,0;;202,0;58,0;87,0;;;;;;2017;1568;449;8;56,125;476;197;279;34,875;139,500;297,333;54;469,170;188,761
4;LF;CTRL;LF_CTRL;d21;LF_CTRL_d21;89,0;203,0;;288,0;215,1;280,0;113,0;;228,0;57,0;;;378,5;;307,6;69,7;3087,3;1933,5;1153,8;21;54,943;1330,4;255,3;1075,1;51,195;204,781;368,175;71,5;556,205;149,230
5;LF;CTRL;LF_CTRL;d21;LF_CTRL_d21;95,0;195,0;;275,2;201,7;183,7;172,0;253,0;;242,0;;432,2;93,6;332,7;59,2;59,2;3985,4;2341,5;1643,9;21;78,281;1245,7;295,1;950,6;45,267;181,067;352,275;64;513,992;222,215
6;LF;CTRL;LF_CTRL;d21;LF_CTRL_d21;84,0;188,0;;270,4;211,5;178,6;91,0;215,0;248,0;53,0;;;352,3;;213,8;78,3;3633,3;2381,9;1251,4;21;59,590;1250,1;317,6;932,5;44,405;177,619;333,158;67,5;533,137;178,865
7;LF;PFOS;LF_PFOS;d08;LF_PFOS_d08;100,0;211,0;52,0;;;;139,0;;;20,0;128,0;;;;;;1473;1186;287;8;35,875;531;168;363;45,375;181,500;347,056;64,5;522,971;103,370
8;LF;PFOS;LF_PFOS;d08;LF_PFOS_d08;85,0;166,0;26,0;;;;107,0;;184,0;58,0;86,0;;;;;;2016;1581;435;8;54,375;510;233;277;34,625;138,500;289,833;55;477,861;187,608
9;LF;PFOS;LF_PFOS;d08;LF_PFOS_d08;98,0;208,0;24,0;;;;122,0;183,0;;129,0;115,0;;;;;;2013;1464;549;8;68,625;499;169;330;41,250;165,000;336,333;65,5;490,585;204,039
10;LF;PFOS;LF_PFOS;d21;LF_PFOS_d21;101,0;195,0;;281,3;206,3;116,8;126,0;;271,0;74,0;;;431,9;;308,2;37,7;3057,3;1808,5;1248,8;21;59,467;1276,8;376,4;900,4;42,876;171,505;337,558;63;508,074;176,167
