"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"ASV_0001" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" "Romboutsia" NA
"ASV_0002" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Ligilactobacillus" NA
"ASV_0003" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" NA
"ASV_0004" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" NA
"ASV_0005" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" "intestinalis"
"ASV_0006" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0007" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Blautia" NA
"ASV_0008" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Porphyromonadaceae" "Parabacteroides" "distasonis"
"ASV_0009" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Sellimonas" NA
"ASV_0010" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" NA
"ASV_0011" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0012" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacterales" "Enterobacteriaceae" "Escherichia/Shigella" "albertii/boydii/coli/coli,/dysenteriae/fergusonii/flexneri/sonnei/vulneris"
"ASV_0013" "Bacteria" "Actinobacteria" "Actinobacteria" "Bifidobacteriales" "Bifidobacteriaceae" "Bifidobacterium" "animalis"
"ASV_0014" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Bacillaceae_1" NA NA
"ASV_0015" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotellamassilia" NA
"ASV_0016" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "intestinalis"
"ASV_0017" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Phocaeicola" NA
"ASV_0018" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae_1" NA NA
"ASV_0019" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Intestinimonas" NA
"ASV_0020" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Blautia" NA
"ASV_0021" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" "acidophilus/gasseri/johnsonii/taiwanensis"
"ASV_0022" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" NA
"ASV_0023" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" "Romboutsia" NA
"ASV_0024" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Desulfovibrionales" "Desulfovibrionaceae" "Mailhella" NA
"ASV_0025" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Barnesiellaceae" "Barnesiella" NA
"ASV_0026" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0027" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Holdemanella" "biformis"
"ASV_0028" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacterales" "Enterobacteriaceae" "Salmonella" NA
"ASV_0029" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Rothia" NA
"ASV_0030" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Rikenellaceae" "Alistipes" "inops"
"ASV_0031" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0032" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0033" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Faecalicatena" NA
"ASV_0034" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Roseburia" "faecis/hominis"
"ASV_0035" "Bacteria" NA NA NA NA NA NA
"ASV_0036" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Staphylococcaceae" "Staphylococcus" "argenteus/aureus/equorum/haemolyticus/lugdunensis/simiae"
"ASV_0037" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Phocaeicola" NA
"ASV_0038" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0039" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0040" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Listeriaceae" "Listeria" "innocua/ivanovii/marthii/monocytogenes/seeligeri/welshimeri"
"ASV_0041" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Porphyromonadaceae" "Parabacteroides" "distasonis"
"ASV_0042" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Rikenellaceae" "Alistipes" "finegoldii/onderdonkii"
"ASV_0043" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Porphyromonadaceae" "Parabacteroides" "goldsteinii"
"ASV_0044" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Butyrivibrio" NA
"ASV_0045" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0046" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Desulfovibrionales" "Desulfovibrionaceae" "Bilophila" "wadsworthia"
"ASV_0047" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0048" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0049" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Porphyromonadaceae" "Parabacteroides" "distasonis"
"ASV_0050" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Oscillibacter" NA
"ASV_0051" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Blautia" "luti/obeum/wexlerae"
"ASV_0052" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Muribaculaceae" "Paramuribaculum" NA
"ASV_0053" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0054" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Odoribacteraceae" "Butyricimonas" "virosa"
"ASV_0055" "Bacteria" NA NA NA NA NA NA
"ASV_0056" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Phocaeicola" NA
"ASV_0057" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Limosilactobacillus" NA
"ASV_0058" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Anaerostipes" "hadrus"
"ASV_0059" "Bacteria" NA NA NA NA NA NA
"ASV_0060" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" NA
