rat_org;rat_name;dissection;cage;treatment;feed;feedtreat;feedtreatday;bw_minus18;bw_0;bw_1;bw_2;bw_3;bw_4;bw_5;bw_6;bw_7;bw_8;bw_12;bw_16;bw_21;bw_gain08;bw_gain021;bw_gain821;bloodvol_8;bloodvol_16;bloodvol_21;cecum_wt;cecum_wtbw;cecum_norm;liver_wt;liver_wtbw;liver_norm;brain_wt_estimate;transit_0;transit_7;transit_20;dose_total_ml;pfos_total_mg;pfos_liver_ugg;pfos_liver_mg;pfos_liver8_pct;pfos_brain_ugg;pfos_brain_uggbw;pfos_brain_ug;pfos_brain_pct;pfos_serum8_ugml;pfos_serum8_mg;pfos_serum8_pct;pfos_serum16_ugml;pfos_serum16_mg;pfos_serum16_pct;pfos_serum21_ugml;pfos_serum21_mg;pfos_serum21_pct;pfos_feces8_ugg;pfos_feces12_ugg;pfos_feces16_ugg;pfos_feces21_ugg;pfos_cecum_ugg;pfos_urine8_ugml;pfos_urine16_ugml;pfos_urine21_ugml;pH_je_up;pH_je_down;pH_ileum;pH_cecum;acetic;formic;propanoic;m2_propanoic;butanoic;m3_butanoic;pentanoic;m4_pentanoic;hexanoic;heptanoic
R01;R01;d08;1;CTRL;LF;LF_CTRL;LF_CTRL_d08;168,2;302,1;309;316;325;335;340;346;355;366;;;;21,15193644;;;23,424;;;2,5123;6,86420765;0,350653075;16,135;44,08469945;0,940261087;3,773;405;833;;4,65;0;0,01;0,00016135;;;;;;0;0;;;;;;;;0;;;;0;0;;;7,28;7,57;7,81;8,76;7,341875366;0,53680923;1,822263772;0,114584762;0,898720937;0,054977624;0,144049692;0;0;0
R02;R02;d08;1;CTRL;LF;LF_CTRL;LF_CTRL_d08;166,7;298,4;307;317;330;340;341;355;360;365;;;;22,31903485;;;23,36;;;1,7556;4,809863014;0,245708367;18,5009;50,68739726;1,081086813;3,765;;682;;4,7;0;0;0;;;;;;0,001;0,00002336;;;;;;;;0;;;;0;0;;;6,85;7,29;8,34;8,76;7,85520847;0;2,207065618;0,106912203;1,307308145;0,059441549;0,206774224;0;0;0
R03;R03;d08;2;CTRL;LF;LF_CTRL;LF_CTRL_d08;132,6;254;261;270;280;290;295;304;312;325;;;;27,95275591;;;20,8;;;1,1642;3,582153846;0,182991734;14,993;46,13230769;0,983933526;3,445;628;891;;4,02;0;0;0;;0;0;0;;0;0;;;;;;;;0,6422;;;;0,0004;0;;;7,15;7;8,07;8,47;5,14695722;0;2,456181613;0;0,753257143;0;0;0;0;0
R04;R04;d08;2;CTRL;LF;LF_CTRL;LF_CTRL_d08;138,6;261;265;272;280;290;294;299;307;315;;;;20,68965517;;;20,16;;;2,3888;7,583492063;0,387397198;13,0103;41,30253968;0,880921756;3,365;;850;;4,02;0;0;0;;0;0;0;;0;0;;;;;;;;0;;;;;0;;;7,2;7,04;7,75;;;;;;;;;;;
R05;R05;d08;3;CTRL;LF;LF_CTRL;LF_CTRL_d08;134,8;239;243;248;250;260;269;276;280;283;;;;18,41004184;;;18,112;;;2,7476;9,708833922;0,495968747;13,1416;46,43674912;0,990426809;3,109;656;910;;3,65;0;0,05;0,00065708;;0;0;0;;0,001;0,000018112;;;;;;;;0,0001;;;;0;0;;;7,47;6,69;8,03;8,24;7,982689902;0;2,054453639;0;1,111057928;0,196319793;0;0;0;0
R06;R06;d08;3;CTRL;LF;LF_CTRL;LF_CTRL_d08;155,4;293;304;312;325;335;345;355;363;372;;;;26,96245734;;;23,808;;;3,1226;8,394086022;0,428805803;18,2395;49,03091398;1,045756488;3,821;;669;;4,68;0;0;0;;0;0;0;;0;0;;;;;;;;0;;;;0;0;;;6,83;7,66;8,44;8,62;8,776675046;0,21769319;2,712627946;0,15528998;1,86365442;0,066751284;0,257124671;0;0;0
R07;R07;d21;4;CTRL;LF;LF_CTRL;LF_CTRL_d21;176,5;331;341;355;370;380;391;404;416;426;456,8;500,1;515,2;28,70090634;55,64954683;20,93896714;27,264;29,2352;32,0064;3,4528;6,701863354;0,38259979;23,443;45,50271739;1,158965431;4,966;565;993;906;5,31;0;0,01;0,00023443;;0;0;0;;0;0;;0,002;0,000058;;0,001;0,000032;;0;0;0,0028;0;0;0;0;0,0005;6,75;6,97;8,36;8,61;9,639725303;0;2,685989892;0,142391207;1,728146087;0,061447497;0,294426623;0;0;0
R08;R08;d21;4;CTRL;LF;LF_CTRL;LF_CTRL_d21;150,6;287;288;298;305;320;322;332;338;346;372,3;407,5;427,3;20,55749129;48,88501742;23,49710983;22,144;23,8272;26,08;3,425;8,015445823;0,457590334;20,493;47,95927919;1,221534666;4,263;;737;880;4,41;0;0,01;0,00020493;;0;0;0;;0;0;;0;0,000000;;0;0,000000;;0,0003;0,0001;0;0,0001;0;0;0;0,0004;6,77;6,91;8,35;8,74;9,078671059;0;2,231854758;0,183397657;1,336831663;0,091758195;0,258824877;0;0;0
R09;R09;d21;5;CTRL;LF;LF_CTRL;LF_CTRL_d21;154,9;283;293;299;310;320;324;338;343;351;371,2;403,7;427,8;24,02826855;51,16607774;21,88034188;22,464;23,7568;25,8368;3,499;8,179055633;0,466930584;18,314;42,80972417;1,09037423;4,267;400;991;1029;4,47;0;0,04;0,00073256;;0,012;0,464453802;0,0512028;;0;0;;0,001;0,000024;;0,002;0,000052;;0,0006;0,0002;0;0,0001;0;0;0,0005;0;6,36;7,43;7,99;8,76;8,897957891;0;2,505350837;0,180535357;1,876992647;0,089813034;0,237540507;0;0;0
R10;R10;d21;5;CTRL;LF;LF_CTRL;LF_CTRL_d21;160,8;298;307;317;330;340;344;358;368;377;405,2;445,8;500,9;26,51006711;68,08724832;32,86472149;24,128;25,9328;28,5312;2,423;4,837292873;0,276154129;17,863;35,66180874;0,908315062;4,852;;990;1018;4,74;0;0,05;0,00089315;;0;0;0;;0;0;;0;0,000000;;0,002;0,000057;;0;0,0002;0,0001;0,0002;0,0014;0;0;0;6,87;7,3;7,56;8,53;8,474208231;0;2,09487719;0,120493037;3,816145621;0,069922162;0,212714551;0;0,010069279;0
