Sample;plate;mat_type;Day;Rat_name;Well;ID_no;Target;Dye;Task;D_Rn;Conc_ngul;Below std;Note;Action;Cq_mean;Cq_sd;quantity_mean;quantity_sd
C21R08;A1;Cecum;21;R08;P10;Sample 108;PBU PBR;SYBR;Sample;0,083;1;<STD curve;high CQ. Wrong dilution.;Include for now;32,1751858;0,190220123;5,643775365;0,619387158
C21R12;A1;Cecum;21;R12;E7;Sample 31;PBU PBR;SYBR;Sample;0,083;1;<STD curve;Pipetting error;Exclude value (outlier);13,4557407;1,024151961;296869,9122;165731,7169
C21R20;A1;Cecum;21;R20;M19;Sample 90;PBU PBR;SYBR;Sample;0,083;1;;;;13,85571199;0,206896181;217608,9721;25179,96966
C21R22;A1;Cecum;21;R22;L16;Sample 82;PBU PBR;SYBR;Sample;0,083;1;;;;14,43291519;0,026081195;155311,086;2336,747327
C21R23;A1;Cecum;21;R23;N16;Sample 96;PBU PBR;SYBR;Sample;0,083;1;;;;14,50610455;0,290467694;150256,1581;24462,91735
C21R24;A1;Cecum;21;R24;G13;Sample 46;PBU PBR;SYBR;Sample;0,083;1;;;;13,90278189;0,11374638;211104,0901;13800,91699
C21R32;A1;Cecum;21;R32;E16;Sample 34;PBU PBR;SYBR;Sample;0,083;1;;;;14,05570253;0,151828098;193513,9539;17115,88954
C21R33;A1;Cecum;21;R33;J10;Sample 66;PBU PBR;SYBR;Sample;0,083;1;;;;14,61677168;0,106539575;139857,5303;8449,959914
C21R34;A1;Cecum;21;R34;I13;Sample 60;PBU PBR;SYBR;Sample;0,083;1;;;;13,5103178;0,07019399;264456,7147;10585,19678
C21R36;A1;Cecum;21;R36;K19;Sample 76;PBU PBR;SYBR;Sample;0,083;1;;;;13,83683154;0,05452535;219041,7678;6835,777742
C21R44;A1;Cecum;21;R44;F13;Sample 39;PBU PBR;SYBR;Sample;0,083;1;;;;13,897575;0,196528971;212337,7649;23871,40327
C21R46;A1;Cecum;21;R46;O16;Sample 103;PBU PBR;SYBR;Sample;0,083;1;;;;14,1728545;0,274148366;181887,5014;27761,27048
C21R48;A1;Cecum;21;R48;I16;Sample 61;PBU PBR;SYBR;Sample;0,083;1;;;;13,82265861;0,106222136;221039,267;13318,79926
C8R02;A1;Cecum;8;R02;B19;Sample 14;PBU PBR;SYBR;Sample;0,083;1;;;;14,41751501;0,068324792;156764,9453;6159,366585
C8R03;A1;Cecum;8;R03;J4;Sample 64;PBU PBR;SYBR;Sample;0,083;1;;;;14,33003894;0,070911498;164877,8291;6661,424138
C8R05;A1;Cecum;8;R05;H19;Sample 55;PBU PBR;SYBR;Sample;0,083;1;;;;15,13513428;1,006976452;114237,9226;53050,08972
C8R06;A1;Cecum;8;R06;G16;Sample 47;PBU PBR;SYBR;Sample;0,083;1;;;;14,1591638;0,150049387;182297,1716;15775,47101
C8R16;A1;Cecum;8;R16;B7;Sample 10;PBU PBR;SYBR;Sample;0,083;1;;;;14,09969457;0,179582103;188846,2108;19049,33592
C8R28;A1;Cecum;8;R28;J13;Sample 67;PBU PBR;SYBR;Sample;0,083;1;;;;14,51180169;0,043877182;148427,7933;3766,656568
C8R42;A1;Cecum;8;R42;F16;Sample 40;PBU PBR;SYBR;Sample;0,083;1;;;;14,8186851;0,040776458;124360,2107;2910,433127
E coli 1;A1;Standard;;;A22;E coli 1;PBU PBR;SYBR;Standard;0,083;;;;;7,961674222;1,562003327;10000000;0
E coli 2;A1;Standard;;;C22;E coli 2;PBU PBR;SYBR;Standard;0,083;;;;;10,76544077;0,158265346;1000000;0
E coli 3;A1;Standard;;;E22;E coli 3;PBU PBR;SYBR;Standard;0,083;;;;;15,03513979;0,304868618;100000;0
E coli 4;A1;Standard;;;G22;E coli 4;PBU PBR;SYBR;Standard;0,083;;;;;18,31339423;0,203771906;10000;0
E coli 5;A1;Standard;;;I22;E coli 5;PBU PBR;SYBR;Standard;0,083;;;;;23,20137093;0,24761379;1000;0
E coli 6;A1;Standard;;;K22;E coli 6;PBU PBR;SYBR;Standard;0,083;;;;;28,08607268;0,152030834;100;0
E coli 7;A1;Standard;;;M22;E coli 7;PBU PBR;SYBR;Standard;0,083;;;;;30,9771607;0,293889453;10;0
F0R01;A1;Feces;0;R01;J19;Sample 69;PBU PBR;SYBR;Sample;0,083;1;;;;13,42746004;0,220352307;278730,8833;35153,92333
F0R04;A1;Feces;0;R04;B10;Sample 11;PBU PBR;SYBR;Sample;0,083;1;;;;12,95759313;0,123990929;364095,3284;25775,28196
F0R06;A1;Feces;0;R06;P4;Sample 106;PBU PBR;SYBR;Sample;0,083;1;;;;13,93030048;0,101235249;207718,7781;11968,21089
F0R07;A1;Feces;0;R07;G10;Sample 45;PBU PBR;SYBR;Sample;0,083;1;;;;10,3323632;0,172504329;1656097,553;166814,2882
F0R08;A1;Feces;0;R08;A10;Sample 4;PBU PBR;SYBR;Sample;0,083;1;;;;12,86971504;0,200126153;384077,5677;44789,9644
F0R09;A1;Feces;0;R09;F10;Sample 38;PBU PBR;SYBR;Sample;0,083;1;;;;14,18388137;0,171651547;179864,1085;18133,88404
F0R12;A1;Feces;0;R12;F1;Sample 36;PBU PBR;SYBR;Sample;0,083;1;;;;12,05564463;0,12956565;612461,4045;46609,14051
F0R14;A1;Feces;0;R14;A4;Sample 2;PBU PBR;SYBR;Sample;0,083;1;;;;12,12438933;0,954272877;632563,831;331390,7305
F0R15;A1;Feces;0;R15;H7;Sample 51;PBU PBR;SYBR;Sample;0,083;1;;;;13,44826761;0,134356796;274481,0364;20964,6878
F0R17;A1;Feces;0;R17;E19;Sample 35;PBU PBR;SYBR;Sample;0,083;1;;;;13,27698269;0,051103517;302451,1295;8971,660262
F0R18;A1;Feces;0;R18;P16;Sample 110;PBU PBR;SYBR;Sample;0,083;1;;;;13,57763896;0,165503743;255029,2383;24478,92421
