Sample;plate;mat_type;Day;Rat_name;Well;ID_no;Target;Dye;Task;D_Rn;Conc_ngul;Below std;Note;Action;Cq_mean;Cq_sd;quantity_mean;quantity_sd
E coli 1;A1;Standard;;;A22;E coli 1;PBU PBR;SYBR;Standard;0,083;;;;;8,862661413;0,095085583;10000000;0
E coli 2;A1;Standard;;;C22;E coli 2;PBU PBR;SYBR;Standard;0,083;;;;;10,76544077;0,158265346;1000000;0
E coli 3;A1;Standard;;;E22;E coli 3;PBU PBR;SYBR;Standard;0,083;;;;;15,03513979;0,304868618;100000;0
E coli 4;A1;Standard;;;G22;E coli 4;PBU PBR;SYBR;Standard;0,083;;;;;18,31339423;0,203771906;10000;0
E coli 5;A1;Standard;;;I22;E coli 5;PBU PBR;SYBR;Standard;0,083;;;;;23,20137093;0,24761379;1000;0
E coli 6;A1;Standard;;;K22;E coli 6;PBU PBR;SYBR;Standard;0,083;;;;;28,08607268;0,152030834;100;0
E coli 7;A1;Standard;;;M22;E coli 7;PBU PBR;SYBR;Standard;0,083;;;;;30,9771607;0,293889453;10;0
F8R39;A1;Feces;8;R39;A1;Sample 1;PBU PBR;SYBR;Sample;0,083;1;;;;13,31392188;0,074001707;318447,1934;13875,38924
C8R16;A1;Cecum;8;R16;B7;Sample 10;PBU PBR;SYBR;Sample;0,083;1;;;;14,09969457;0,179582103;202032,2422;20601,5915
F16R21;A1;Feces;16;R21;O7;Sample 100;PBU PBR;SYBR;Sample;0,083;1;<STD curve;Pipetting error;Exclude value (outlier);12,49102031;1,23453732;582123,525;386115,1352
F12R19;A1;Feces;12;R19;O10;Sample 101;PBU PBR;SYBR;Sample;0,083;1;;;;13,39302711;0,112917407;304343,2075;19760,20675
F0R38;A1;Feces;0;R38;O13;Sample 102;PBU PBR;SYBR;Sample;0,083;1;;;;13,81158756;0,118973365;238499,6977;16567,39371
C21R46;A1;Cecum;21;R46;O16;Sample 103;PBU PBR;SYBR;Sample;0,083;1;;;;14,1728545;0,274148366;194515,6277;30008,70406
Mock-05;A1;Mock;;;O19;Sample 104;PBU PBR;SYBR;Sample;0,083;1;<STD curve;;;33,50541212;0,552109237;2,549641098;0,807759494
F20R47;A1;Feces;20;R47;P1;Sample 105;PBU PBR;SYBR;Sample;0,083;1;;;;13,4971179;0,138002532;286643,9406;23521,58797
F0R06;A1;Feces;0;R06;P4;Sample 106;PBU PBR;SYBR;Sample;0,083;1;;;;13,93030048;0,101235249;222454,179;12959,03472
Il8R15;A1;Ileum;8;R15;P7;Sample 107;PBU PBR;SYBR;Sample;0,083;1;;LOW;;20,92784371;0,184363137;3776,85179;414,1942727
C21R08;A1;Cecum;21;R08;P10;Sample 108;PBU PBR;SYBR;Sample;0,083;1;<STD curve;high CQ. Wrong dilution.;Include for now;32,1751858;0,190220123;5,37214532;0,596184066
F20R36;A1;Feces;20;R36;P13;Sample 109;PBU PBR;SYBR;Sample;0,083;1;;;;13,82684155;0,365002675;239531,0113;49557,32438
F0R04;A1;Feces;0;R04;B10;Sample 11;PBU PBR;SYBR;Sample;0,083;1;;;;12,95759313;0,123990929;392388,1962;28086,49999
F0R18;A1;Feces;0;R18;P16;Sample 110;PBU PBR;SYBR;Sample;0,083;1;;;;13,57763896;0,165503743;273756,0004;26572,5293
