Kingdom,Phylum,Class,Order,Family,Genus,Species,Control,Mock,Sample,ASV,contam_phy,contam_harsh
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,Genus_Romboutsia,7.90639103368502,0.113817014668619,13.7579919723931,ASV_0001,FALSE,FALSE
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Genus_Ligilactobacillus,1.84022432346659,0.0609219195074972,8.67291136768571,ASV_0002,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Genus_Prevotella,1.47346439273702,0.029070266251449,8.56711648955648,ASV_0003,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Genus_Prevotella,0.781464417029153,0.014970051104662,4.71447851785121,ASV_0004,FALSE,FALSE
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,intestinalis,0.671005841327071,0.0227816954730071,3.85105318378228,ASV_0005,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Order_Clostridiales,Order_Clostridiales,Order_Clostridiales,0.662172453079816,0.0108680166158617,3.45672252643822,ASV_0006,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Genus_Blautia,0.58210731511226,0.0195276358942584,2.96037622842805,ASV_0007,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,distasonis,0.488567918052294,0.00831114630999753,2.74385567127053,ASV_0008,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Sellimonas,Genus_Sellimonas,0.856894600048572,0.0126892477639767,2.35102919293567,ASV_0009,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Genus_Prevotella,0.159170448583218,0.00238231749898388,1.96990368791807,ASV_0010,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.629534437803474,0.0206896660835848,1.786206629226,ASV_0011,FALSE,FALSE
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia/Shigella,"albertii/boydii/coli/coli,/dysenteriae/fergusonii/flexneri/sonnei/vulneris",0.476536013631108,8.60206736322106,0.89388706119807,ASV_0012,FALSE,FALSE
