	input	filtered	denoised	non-chimeric
fibrex.c2.C21R11.fastq	98389	86141	85971	60844
fibrex.c2.C21R19.fastq	92087	77672	77316	43160
fibrex.c2.C21R20.fastq	70679	57451	57255	35524
fibrex.c2.C21R22.fastq	102824	88705	88228	51048
fibrex.c2.C21R23.fastq	96897	85691	85420	46567
fibrex.c2.C21R32.fastq	72881	60525	60452	29364
fibrex.c2.C21R36.fastq	84375	74537	74424	33200
fibrex.c2.C21R45.fastq	93591	81206	81162	36907
fibrex.c2.C21R46.fastq	72895	66780	66744	56109
fibrex.c2.C21R48.fastq	70285	64338	64266	58483
fibrex.c2.C8R02.fastq	109015	96544	96317	56282
fibrex.c2.C8R05.fastq	83945	71675	71308	47984
fibrex.c2.C8R06.fastq	84120	72721	72532	38655
fibrex.c2.C8R42.fastq	93785	84580	84447	41516
fibrex.c2.F0R01.fastq	104541	95825	95671	70349
fibrex.c2.F0R05.fastq	118417	102391	102233	74351
fibrex.c2.F0R13.fastq	96460	86173	86027	61952
fibrex.c2.F0R17.fastq	94382	86096	85973	57996
fibrex.c2.F0R18.fastq	89472	81963	81872	61339
fibrex.c2.F0R19.fastq	86929	78143	77985	59141
fibrex.c2.F0R20.fastq	93385	84163	84018	56046
fibrex.c2.F0R25.fastq	76850	68769	68669	48691
fibrex.c2.F0R29.fastq	96873	89040	88975	66267
fibrex.c2.F0R34.fastq	80153	74731	74627	64041
fibrex.c2.F0R37.fastq	82143	74212	74150	57788
fibrex.c2.F0R39.fastq	91544	84370	84269	64178
fibrex.c2.F0R43.fastq	79375	70211	70141	48435
fibrex.c2.F0R48.fastq	83863	73723	73598	58026
fibrex.c2.F12R07.fastq	102417	86530	86365	63603
fibrex.c2.F12R23.fastq	114543	98825	98630	61776
fibrex.c2.F12R31.fastq	75061	68736	68684	54807
fibrex.c2.F12R45.fastq	92789	84267	84168	56642
fibrex.c2.F12R47.fastq	70471	61091	61070	36694
fibrex.c2.F16R19.fastq	88832	77744	77548	55689
fibrex.c2.F16R42.fastq	84263	76980	76733	56252
fibrex.c2.F16R45.fastq	102890	92580	92422	62908
fibrex.c2.F16R48.fastq	80886	74922	74857	65772
fibrex.c2.F20R09.fastq	99439	89200	89086	63819
fibrex.c2.F20R10.fastq	91866	85938	85842	69784
fibrex.c2.F20R19.fastq	95767	85298	85053	59642
fibrex.c2.F20R24.fastq	92456	82008	81814	59829
fibrex.c2.F20R32.fastq	91498	83676	83564	61659
fibrex.c2.F20R34.fastq	99065	89436	89210	55223
fibrex.c2.F20R35.fastq	87450	79141	79076	61849
fibrex.c2.F20R45.fastq	128630	119522	119410	89302
fibrex.c2.F21R10.fastq	68765	54778	54707	33781
fibrex.c2.F21R20.fastq	102123	84797	84665	52548
fibrex.c2.F21R21.fastq	73309	61254	61096	40362
fibrex.c2.F21R24.fastq	92545	80970	80833	56832
fibrex.c2.F21R36.fastq	99943	90074	89732	57841
fibrex.c2.F8R02.fastq	81379	71062	70963	44858
fibrex.c2.F8R16.fastq	98861	88083	87867	59415
fibrex.c2.F8R20.fastq	101340	87997	87858	59009
fibrex.c2.F8R31.fastq	59018	50583	50537	45835
fibrex.c2.F8R35.fastq	67545	61405	61333	56362
fibrex.c2.F8R41.fastq	82666	74568	74384	41642
fibrex.c2.F8R42.fastq	91417	83211	83066	53757
fibrex.c2.F8R43.fastq	84780	75567	75471	49861
fibrex.c2.F8R44.fastq	94227	86244	86122	55393
fibrex.c2.F8R47.fastq	85206	77557	77458	52921
fibrex.c2.Il21R09.fastq	102759	93314	93308	89340
fibrex.c2.Il21R21.fastq	74741	71504	71503	69651
fibrex.c2.Il21R31.fastq	99933	82840	82824	77580
fibrex.c2.Il21R33.fastq	97942	86476	86452	75313
fibrex.c2.Il21R36.fastq	89504	82885	82881	78334
fibrex.c2.Il21R43.fastq	104939	94303	94300	38581
fibrex.c2.Il21R45.fastq	102421	94172	94144	82922
fibrex.c2.Il8R03.fastq	102336	90775	90728	83324
fibrex.c2.Il8R04.fastq	1646	1493	1493	1279
fibrex.c2.Il8R18.fastq	59080	57350	57345	54635
fibrex.c2.Il8R28.fastq	101586	94858	94853	89041
fibrex.c2.Il8R30.fastq	97624	87272	87261	84257
fibrex.c2.Mock-04.fastq	54233	47781	47726	44087
fibrex.c2.Mock-05.fastq	52060	39914	39879	36649
fibrex.c2.Mock-06.fastq	66690	58692	58634	54092
fibrex.c2.WTRP-04.fastq	11194	9520	9520	8247
fibrex.c2.WTRP-05.fastq	5026	3836	3835	2960
fibrex.c2.WTRP-06.fastq	8327	6819	6813	5711
fibrex.c2.WTRX-4.fastq	3864	3288	3286	2791
fibrex.c2.WTRX-5.fastq	5773	4361	4360	3592
