	input	filtered	denoised	non-chimeric
C21R07.fastq	127699	114530	114391	79895
C21R09.fastq	73465	58092	58015	36496
C21R10.fastq	99048	76524	76449	39993
C21R31.fastq	85104	75998	75977	67775
C21R35.fastq	80801	71332	71292	43142
C21R43.fastq	103601	86756	86713	47899
C8R01.fastq	101136	84666	84548	59111
C8R14.fastq	99011	86182	86124	54671
C8R15.fastq	100388	87510	87426	64340
C8R25.fastq	81046	72597	72546	62551
C8R27.fastq	89189	80184	80156	53959
C8R29.fastq	87597	77452	77407	50994
C8R37.fastq	73930	55944	55930	33114
C8R38.fastq	91328	79244	79212	46496
C8R39.fastq	83613	67618	67606	30465
C8R41.fastq	97221	86489	86418	45626
F0R16.fastq	116179	106697	106611	84669
F0R21.fastq	75181	63841	63722	39727
F0R23.fastq	104725	92836	92657	59934
F0R26.fastq	78034	67397	67338	51398
F0R41.fastq	80482	69945	69923	62389
F12R08.fastq	129745	112394	112254	89669
F12R10.fastq	84762	68591	68440	49175
F12R11.fastq	47860	37193	37144	27187
F12R20.fastq	97837	82140	82051	61463
F12R21.fastq	97307	84551	84358	58504
F12R22.fastq	110294	99259	99057	71394
F12R32.fastq	94707	83373	83299	59473
F16R07.fastq	91000	77382	77264	55708
F16R11.fastq	83788	70777	70701	51034
F16R12.fastq	100653	85374	85282	65298
F16R23.fastq	117483	106271	106171	75303
F16R31.fastq	131316	112266	112170	88691
F16R32.fastq	49985	40519	40491	34212
F16R34.fastq	117579	107734	107616	68466
F20R11.fastq	100792	90424	90345	66385
F20R12.fastq	83051	61994	61915	42524
F21R09.fastq	96195	83639	83528	61338
F21R12.fastq	97827	82177	82079	54840
F21R22.fastq	171245	152906	152679	107874
F21R31.fastq	79175	69266	69218	51816
F21R35.fastq	97516	88076	88033	63971
F21R45.fastq	104497	93397	93277	67299
F21R47.fastq	103592	90763	90634	64914
F8R04.fastq	41395	30153	30130	14596
F8R06.fastq	93947	78864	78807	56228
F8R07.fastq	88163	72855	72727	53602
F8R10.fastq	104542	91939	91781	63241
F8R11.fastq	111510	93491	93388	65205
F8R13.fastq	89776	80201	80042	47746
F8R14.fastq	93148	84086	83982	54562
F8R19.fastq	96811	82694	82551	54696
F8R23.fastq	102746	89706	89602	51795
F8R24.fastq	98237	86125	85985	59475
F8R26.fastq	70571	61242	61193	48287
F8R27.fastq	87656	79642	79606	53939
F8R32.fastq	101267	86450	86405	62430
F8R38.fastq	102748	92414	92288	60354
F8R45.fastq	90974	82021	81952	49642
Il21R07.fastq	96713	88499	88447	76856
Il21R08.fastq	91485	84791	84761	78939
Il21R11.fastq	78687	72236	72223	69122
Il21R35.fastq	77993	66104	66092	62407
Il8R05.fastq	55713	46239	46233	45079
Il8R13.fastq	97981	85022	84985	82538
Il8R16.fastq	47125	40681	40664	38180
Il8R25.fastq	72037	66901	66888	64880
Il8R26.fastq	102972	88816	88744	85184
Il8R38.fastq	83946	77972	77915	73395
Il8R41.fastq	82323	70740	70706	66132
Il8R42.fastq	84520	61560	61560	60641
Mock-07.fastq	123909	106187	106154	93332
Mock-08.fastq	81902	61980	61968	56764
Mock-09.fastq	110593	93377	93350	82722
WTRP-07.fastq	8026	5270	5266	4361
WTRP-08.fastq	4084	2726	2721	2164
WTRP-09.fastq	621	481	476	331
WTRX-2.fastq	1875	1582	1580	1183
WTRX-3.fastq	3672	2978	2976	2226
