"","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"1","feed","HF","LF",0,2.69133333333335,0.117264509370917,5.26540215729578,0.0409,"*"
"2","day","d08","d16",0,-9.70933333333334,-13.5046046369353,-5.91406202973138,5.78e-07,"****"
"3","day","d08","d21",0,-15.996,-19.791271303602,-12.200728696398,2.73e-12,"****"
"4","day","d16","d21",0,-6.28666666666667,-10.6690684842312,-1.90426484910216,0.00327,"**"
"5","feed:day","HF:d08","LF:d08",0,2.4986666666667,-2.88622466830904,7.88355800164244,0.735,"ns"
"6","feed:day","HF:d08","HF:d16",0,-10.2186666666667,-16.8137847121792,-3.62354862115412,0.000482,"***"
"7","feed:day","HF:d08","LF:d16",0,-6.70133333333332,-13.2964513788459,-0.106215287820777,0.0445,"*"
"8","feed:day","HF:d08","HF:d21",0,-15.872,-22.4671180455125,-9.27688195448745,1.16e-07,"****"
"9","feed:day","HF:d08","LF:d21",0,-13.6213333333333,-20.2164513788459,-7.02621528782078,3.31e-06,"****"
"10","feed:day","LF:d08","HF:d16",0,-12.7173333333334,-19.3124513788459,-6.12221528782082,1.27e-05,"****"
"11","feed:day","LF:d08","LF:d16",0,-9.20000000000002,-15.7951180455126,-2.60488195448748,0.00198,"**"
"12","feed:day","LF:d08","HF:d21",0,-18.3706666666667,-24.9657847121792,-11.7755486211542,3.01e-09,"****"
"13","feed:day","LF:d08","LF:d21",0,-16.12,-22.7151180455126,-9.52488195448748,8.04e-08,"****"
"14","feed:day","HF:d16","LF:d16",0,3.51733333333334,-4.09805302449471,11.1327196911614,0.739,"ns"
"15","feed:day","HF:d16","HF:d21",0,-5.65333333333334,-13.2687196911614,1.96205302449472,0.252,"ns"
"16","feed:day","HF:d16","LF:d21",0,-3.40266666666666,-11.0180530244947,4.21271969116139,0.765,"ns"
"17","feed:day","LF:d16","HF:d21",0,-9.17066666666668,-16.7860530244947,-1.55528030883862,0.0103,"*"
"18","feed:day","LF:d16","LF:d21",0,-6.92,-14.5353863578281,0.695386357828053,0.0939,"ns"
"19","feed:day","HF:d21","LF:d21",0,2.25066666666667,-5.36471969116138,9.86605302449473,0.949,"ns"
