"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","t-test - Rank (ttr)",0.72,0.36,0.52,0.67,-0.37,-0.49,-0.23,"*"
"2","t-test - CLR (ttc)",0.72,0.47,0.57,0.8,-0.39,-0.62,-0.18,"*"
"3","Log t-test (ltt)",0.68,0.45,0.61,0.6,-0.51,-0.76,-0.34," "
"4","Poisson GLM (poi)",0.58,0.94,0.68,0.93,-0.61,-0.78,-0.45," "
"5","Negbinom GLM (neb)",0.51,0.77,0.68,0.77,-0.68,-0.99,-0.46," "
"6","t-test - ALR (tta)",0.49,0.52,0.67,0.6,-0.68,-1,-0.11," "
"7","Permutation (per)",0.5,0.64,0.69,0.67,-0.68,-1,-0.47," "
"8","Log t-test2 (ltt2)",0.51,0.64,0.71,0.57,-0.7,-1,-0.41," "
"9","t-test (ttt)",0.51,0.58,0.71,0.53,-0.71,-0.99,-0.49," "
"10","Quasi-Poisson GLM (qpo)",0.45,0.62,0.7,0.6,-0.73,-0.97,-0.3," "
"11","Wilcox (wil)",0.43,0.62,0.73,0.43,-0.76,-0.99,-0.4," "
