"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","Log t-test (ltt)",0.83,0.1,0.24,0.47,-0.08,-0.39,0.2,"*"
"2","t-test - Rank (ttr)",0.8,0.09,0.21,0.4,-0.09,-0.58,0.19,"*"
"3","t-test - ALR (tta)",0.78,0.12,0.23,0.3,-0.15,-1.01,0.22,"*"
"4","t-test - CLR (ttc)",0.86,0.15,0.41,0.6,-0.19,-0.49,0.21,"*"
"5","t-test (ttt)",0.78,0.19,0.57,0.33,-0.48,-1,0.12," "
"6","Log t-test2 (ltt2)",0.78,0.2,0.59,0.4,-0.48,-0.95,0.13," "
"7","Quasi-Poisson GLM (qpo)",0.76,0.23,0.61,0.47,-0.48,-0.93,0.01," "
"8","Wilcox (wil)",0.66,0.18,0.56,0.37,-0.51,-0.95,0.14," "
"9","Negbinom GLM (neb)",0.8,0.4,0.75,0.8,-0.51,-0.83,-0.33," "
"10","Permutation (per)",0.71,0.23,0.67,0.53,-0.55,-0.95,0.19," "
"11","Poisson GLM (poi)",0.74,0.85,0.85,1,-0.61,-0.74,-0.46," "
