"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","MgSeq Feature (msf)",0.93,0.04,0,0.4,0.17,-0.09,0.28,"*"
"2","Log t-test (ltt)",0.82,0.07,0,0.37,0.12,-0.48,0.16,"*"
"3","ALDEx2 wilcox (adx)",0.8,0.06,0,0.37,0.11,-0.33,0.16,"*"
"4","t-test - ALR (tta)",0.88,0.05,0,0.27,0.1,-1.01,0.27,"*"
"5","ALDEx2 t-test (adx)",0.8,0.06,0,0.27,0.08,-0.62,0.15,"*"
"6","Log LIMMA (lli)",0.83,0.07,0.06,0.4,0.07,-0.39,0.17,"*"
"7","SAMseq (sam)",0.9,NA,0.19,0.53,0.02,-0.57,0.32,"*"
"8","LIMMA - ALR (lia)",0.88,0.05,0.15,0.3,-0.03,-1.05,0.27,"*"
"9","EdgeR exact - TMM (ere)",0.91,0.16,0.45,0.8,-0.12,-0.44,0.18," "
"10","t-test (ttt)",0.79,0.11,0.2,0.27,-0.12,-0.81,0.15," "
"11","EdgeR exact - RLE (ere2)",0.91,0.16,0.49,0.77,-0.17,-0.32,0.23," "
"12","EdgeR qll - TMM (erq)",0.91,0.18,0.51,0.77,-0.2,-0.44,0.02," "
"13","t-test - CLR (ttc)",0.85,0.14,0.39,0.53,-0.2,-0.62,0.18," "
"14","t-test - Rank (ttr)",0.81,0.08,0.31,0.33,-0.21,-0.62,0.18," "
"15","MgSeq ZIG (zig)",0.93,0.2,0.59,0.87,-0.22,-0.52,0.04," "
"16","LIMMA voom (vli)",0.85,0.13,0.39,0.47,-0.22,-0.53,0.15," "
"17","DESeq2 man. geoMeans (ds2)",0.85,0.13,0.46,0.67,-0.23,-0.45,0.13," "
"18","DESeq2 (ds2x)",0.88,0.14,0.49,0.67,-0.24,-0.46,0.28," "
"19","EdgeR qll - RLE (erq2)",0.91,0.18,0.55,0.77,-0.24,-0.43,0.11," "
"20","LIMMA - CLR (lic)",0.86,0.15,0.44,0.57,-0.24,-0.62,0.25," "
"21","baySeq (bay)",0.84,0.02,0.44,0.53,-0.26,-0.67,0.09," "
"22","Permutation (per)",0.73,0.16,0.4,0.47,-0.29,-0.88,0.18," "
"23","Log t-test2 (ltt2)",0.8,0.14,0.43,0.4,-0.31,-1,0.16," "
"24","Log LIMMA 2 (lli2)",0.8,0.14,0.45,0.4,-0.33,-0.99,0.2," "
"25","Quasi-Poisson GLM (qpo)",0.79,0.19,0.43,0.33,-0.33,-0.84,0.16," "
"26","Wilcox (wil)",0.68,0.16,0.47,0.33,-0.41,-0.91,0.16," "
"27","Negbinom GLM (neb)",0.79,0.35,0.8,0.8,-0.56,-0.81,-0.15," "
"28","Poisson GLM (poi)",0.76,0.83,0.88,1,-0.62,-0.74,-0.49," "
"29","ZI-NegBin GLM (znb)",0.65,0.2,0.78,0.43,-0.72,-0.95,-0.01," "
"30","ZI-Poisson GLM (zpo)",0.7,0.6,0.87,0.73,-0.73,-0.94,-0.57," "
