"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","t-test - CLR (ttc)",0.71,0.44,0.56,0.8,-0.39,-0.65,-0.19,"*"
"2","t-test - Rank (ttr)",0.68,0.38,0.57,0.67,-0.45,-0.56,-0.3,"*"
"3","Log t-test (ltt)",0.65,0.47,0.6,0.6,-0.51,-0.6,-0.36,"*"
"4","Poisson GLM (poi)",0.55,0.91,0.67,1,-0.62,-0.8,-0.41,"*"
"5","t-test - ALR (tta)",0.54,0.52,0.65,0.57,-0.63,-1,0.28,"*"
"6","Quasi-Poisson GLM (qpo)",0.48,0.59,0.69,0.57,-0.7,-0.94,-0.31," "
"7","Negbinom GLM (neb)",0.47,0.7,0.69,0.73,-0.71,-0.92,-0.13," "
"8","Log t-test2 (ltt2)",0.48,0.58,0.7,0.53,-0.71,-0.92,-0.36," "
"9","t-test (ttt)",0.48,0.53,0.71,0.47,-0.72,-0.9,-0.18," "
"10","Permutation (per)",0.45,0.59,0.7,0.63,-0.73,-0.97,-0.42," "
"11","Wilcox (wil)",0.44,0.62,0.72,0.47,-0.75,-1,-0.4," "
