"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","t-test - ALR (tta)",0.86,0.06,0.12,0.4,0.02,-0.93,0.21,"*"
"2","Log t-test (ltt)",0.82,0.11,0.25,0.5,-0.09,-0.47,0.18,"*"
"3","t-test (ttt)",0.75,0.12,0.17,0.27,-0.1,-0.86,0.13,"*"
"4","t-test - CLR (ttc)",0.84,0.11,0.31,0.6,-0.11,-0.49,0.15,"*"
"5","t-test - Rank (ttr)",0.79,0.09,0.32,0.4,-0.2,-0.46,0.11,"*"
"6","Log t-test2 (ltt2)",0.77,0.13,0.37,0.47,-0.24,-0.82,0.17,"*"
"7","Wilcox (wil)",0.7,0.14,0.35,0.4,-0.27,-0.84,0.11,"*"
"8","Permutation (per)",0.77,0.17,0.5,0.5,-0.37,-0.77,0.09,"*"
"9","Quasi-Poisson GLM (qpo)",0.74,0.16,0.5,0.37,-0.41,-0.8,0.13,"*"
"10","Negbinom GLM (neb)",0.79,0.33,0.75,0.8,-0.52,-0.74,-0.29,"*"
"11","Poisson GLM (poi)",0.74,0.84,0.88,1,-0.65,-0.72,-0.58,"*"
