"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","t-test - ALR (tta)",0.88,0.04,0,0.37,0.14,-0.96,0.32,"*"
"2","Log t-test (ltt)",0.84,0.06,0.05,0.43,0.1,-0.28,0.2,"*"
"3","t-test - CLR (ttc)",0.86,0.12,0.22,0.57,-0.01,-0.45,0.25,"*"
"4","t-test - Rank (ttr)",0.79,0.09,0.19,0.3,-0.1,-0.86,0.14,"*"
"5","t-test (ttt)",0.81,0.15,0.26,0.33,-0.16,-0.84,0.19,"*"
"6","Log t-test2 (ltt2)",0.81,0.17,0.36,0.53,-0.2,-0.84,0.21,"*"
"7","Permutation (per)",0.78,0.19,0.5,0.57,-0.35,-0.75,0.14,"*"
"8","Wilcox (wil)",0.72,0.15,0.46,0.37,-0.38,-0.96,0.21,"*"
"9","Quasi-Poisson GLM (qpo)",0.8,0.2,0.57,0.47,-0.43,-0.73,0.16,"*"
"10","Negbinom GLM (neb)",0.82,0.34,0.69,0.8,-0.44,-0.83,-0.18,"*"
"11","Poisson GLM (poi)",0.77,0.84,0.84,1,-0.58,-0.73,-0.5,"*"
