"","Feature","pval","pval.adj","log2FC","ordering","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_0001",0.00204371929018707,0.00480274033193962,-0.0670517996021906,"A>B","t-test - Rank (ttr)","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae",NA,NA
"2","ASV_0003",3.27904336900819e-12,7.70575191716924e-11,0.253033013676295,"B>A","t-test - Rank (ttr)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae",NA,NA
"4","ASV_0006",0.00545136882455979,0.01113975368497,-0.0931094043914815,"A>B","t-test - Rank (ttr)","Bacteria","Firmicutes","Clostridia","Clostridiales","Order_Clostridiales",NA,NA
"5","ASV_0008",3.91866345264734e-06,2.63110260392036e-05,-0.121066633939261,"A>B","t-test - Rank (ttr)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae",NA,NA
"7","ASV_0012",0.00129512648822419,0.00338171916369651,-0.205142240625298,"A>B","t-test - Rank (ttr)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"10","ASV_0017",0.0179911557353732,0.0338233727825017,-0.0405278065826102,"A>B","t-test - Rank (ttr)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae",NA,NA
"11","ASV_0018",0.000854626072859795,0.00251046408902565,-0.434377289494301,"A>B","t-test - Rank (ttr)","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1",NA,NA
"12","ASV_0024",1.16484132980078e-10,1.82491808335455e-09,-0.179874014543999,"A>B","t-test - Rank (ttr)","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae",NA,NA
"13","ASV_0025",0.000666840349496973,0.00208943309509052,0.0932096995036835,"B>A","t-test - Rank (ttr)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Barnesiellaceae",NA,NA
"15","ASV_0029",2.26653449333405e-06,1.8763455764276e-05,-0.967745800995373,"A>B","t-test - Rank (ttr)","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae",NA,NA
"19","ASV_0052",0.000126218594976996,0.000539297633083529,0.378675296183838,"B>A","t-test - Rank (ttr)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"23","ASV_0078",0.000155747124277378,0.000610009570086398,-0.185795872889471,"A>B","t-test - Rank (ttr)","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XIII",NA,NA
"24","ASV_0096",0.00126884908404956,0.00338171916369651,0.162184469793285,"B>A","t-test - Rank (ttr)","Bacteria","Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes",NA,NA
"25","ASV_0100",1.78095897616817e-05,9.30056354221154e-05,-0.381227340873612,"A>B","t-test - Rank (ttr)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA,NA
"26","ASV_0110",0.000323910773859949,0.00108741474081554,-0.40391755027796,"A>B","t-test - Rank (ttr)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae",NA,NA
"27","ASV_0141",2.39533477841822e-06,1.8763455764276e-05,0.483153401379289,"B>A","t-test - Rank (ttr)","Bacteria","Firmicutes","Clostridia","Class_Clostridia","Class_Clostridia",NA,NA
"28","ASV_0143",1.46630786609835e-05,8.61455871332782e-05,-0.575221106242956,"A>B","t-test - Rank (ttr)","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae",NA,NA
"29","ASV_0149",0.0043215869093221,0.00923248112446084,0.509650974125032,"B>A","t-test - Rank (ttr)","Bacteria","Proteobacteria","Deltaproteobacteria","Class_Deltaproteobacteria","Class_Deltaproteobacteria",NA,NA
"30","ASV_0167",0.00158325244115326,0.00391646656495805,-0.414651287245782,"A>B","t-test - Rank (ttr)","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae",NA,NA
"31","ASV_0170",2.04140857757408e-05,9.59462031459818e-05,1.10544929858373,"B>A","t-test - Rank (ttr)","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2",NA,NA
"32","ASV_0188",0.00395692380927417,0.00885597233504219,-0.399417824682052,"A>B","t-test - Rank (ttr)","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae",NA,NA
"34","ASV_0218",0.000300541673110945,0.00108657374124726,-0.441189787134812,"A>B","t-test - Rank (ttr)","Bacteria","Firmicutes","Bacilli","Class_Bacilli","Class_Bacilli",NA,NA
"38","ASV_0325",3.87221639123425e-09,4.54985425970024e-08,0.812025175720914,"B>A","t-test - Rank (ttr)","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae",NA,NA
"40","ASV_0338",0.0115683468550351,0.0226546792577771,0.479038499207694,"B>A","t-test - Rank (ttr)","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae",NA,NA
"42","ASV_0345",3.09188560735636e-24,1.45318623545749e-22,1.94219554847714,"B>A","t-test - Rank (ttr)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Order_Bacteroidales",NA,NA
