"","Feature","pval","pval.adj","log2FC","ordering","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_0001",0.00114069644487559,0.00497343649965758,-1.39221385349832,"A>B","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Romboutsia",NA
"3","ASV_0003",4.10266638593272e-17,4.47190636066666e-15,6.09354950336868,"B>A","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"5","ASV_0006",0.00254552371636153,0.00840794197222443,-1.48633598463585,"A>B","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Order_Clostridiales","Order_Clostridiales",NA
"7","ASV_0008",8.64989901403013e-05,0.000589274370330802,-1.72163199631722,"A>B","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides",NA
"8","ASV_0009",0.000279802244539638,0.00152492223274103,-3.04451406240355,"A>B","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Sellimonas",NA
"10","ASV_0012",1.72808261530383e-08,3.76722010136235e-07,-2.30245415499601,"A>B","t-test - ALR (tta)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella",NA
"13","ASV_0015",0.00039881052864604,0.00207001655344849,-1.88435754364653,"A>B","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellamassilia",NA
"14","ASV_0016",0.00165517337117032,0.00622116887784708,-1.47140612293618,"A>B","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"15","ASV_0017",0.0148215029205361,0.0343732727306051,-1.03758781336312,"A>B","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola",NA
"16","ASV_0018",0.00448120553107676,0.0132013892672261,-2.18327363001167,"A>B","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Family_Clostridiaceae_1",NA
"17","ASV_0019",0.00069016728595383,0.00313450975704031,-1.78370041277957,"A>B","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Intestinimonas",NA
"18","ASV_0024",2.05872743638845e-05,0.000160286636118815,-1.65740746467853,"A>B","t-test - ALR (tta)","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Mailhella",NA
"22","ASV_0029",3.32168938888851e-05,0.000241376095592565,-2.85463132966746,"A>B","t-test - ALR (tta)","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia",NA
