"","Feature","pval","pval.adj","log2FC","ordering","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"3","ASV_0003",2.20973391831511e-18,3.15991950319061e-16,-6.58973168930145,"HF>LF","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Genus_Prevotella"
"7","ASV_0008",0.00419135710029398,0.0221986690867422,1.2730413638897,"LF>HF","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","distasonis"
"8","ASV_0009",0.00143500818051806,0.00892200738322097,2.54817380663686,"LF>HF","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Sellimonas","Genus_Sellimonas"
"10","ASV_0012",2.3929247936575e-06,6.84376490986045e-05,1.8058942025313,"LF>HF","t-test - ALR (tta)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella","albertii/boydii/coli/coli,/dysenteriae/fergusonii/flexneri/sonnei/vulneris"
"13","ASV_0015",0.0101270582342188,0.0413762664998082,1.38817535771377,"LF>HF","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellamassilia","Genus_Prevotellamassilia"
"14","ASV_0016",0.000139545242371971,0.00153499766609168,2.11268095653982,"LF>HF","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","intestinalis"
"20","ASV_0024",0.00307908460543621,0.0169349653298991,1.16122527874576,"LF>HF","t-test - ALR (tta)","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Mailhella","Genus_Mailhella"
"24","ASV_0029",0.000361831238962199,0.00287454817619969,2.35827247797796,"LF>HF","t-test - ALR (tta)","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","Genus_Rothia"
"28","ASV_0034",0.00716188127706775,0.0330370652458286,-1.76442313581391,"HF>LF","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","faecis/hominis"
"29","ASV_0036",0.0087929282735154,0.0369820218562559,1.00275912685529,"LF>HF","t-test - ALR (tta)","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","argenteus/aureus/equorum/haemolyticus/lugdunensis/simiae"
"32","ASV_0043",8.2438612396588e-06,0.000168410308181601,2.2174755465758,"LF>HF","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","goldsteinii"
"34","ASV_0046",5.75967575529138e-10,2.74544544335556e-08,3.24947377966696,"LF>HF","t-test - ALR (tta)","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila","wadsworthia"
"40","ASV_0058",0.000614862134491945,0.00462764659117622,-2.41040272936255,"HF>LF","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes","hadrus"
"42","ASV_0067",0.00075263954343345,0.0051251168909992,-2.6630125807645,"HF>LF","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Agathobacter","Genus_Agathobacter"
"46","ASV_0078",0.00116316971898703,0.0075606031734157,1.58789592190026,"LF>HF","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XIII","Ihubacter","Genus_Ihubacter"
"48","ASV_0086",0.000674738846657932,0.00482438275360422,-2.14262831741819,"HF>LF","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Monoglobus","Genus_Monoglobus"
"49","ASV_0087",0.000332043244623226,0.00279306964594832,1.77448384652056,"LF>HF","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Longicatena","Genus_Longicatena"
"50","ASV_0089",0.00449326191939228,0.0229477305168963,1.51220845473608,"LF>HF","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Clostridium_XVIII","cocleatum"
"54","ASV_0100",1.96018272620697e-05,0.000311451255386219,1.82215820454776,"LF>HF","t-test - ALR (tta)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Genus_Streptococcus"
"57","ASV_0110",0.00801449821869821,0.0358147889148076,1.0462554496797,"LF>HF","t-test - ALR (tta)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Genus_Enterococcus"
"58","ASV_0113",7.00163322512079e-05,0.000910212319265703,-2.74978100320211,"HF>LF","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Genus_Agathobaculum"
"59","ASV_0114",0.000183823216810351,0.00187762285742002,-1.92840874504465,"HF>LF","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","obesi"
"63","ASV_0123",5.5297816360564e-06,0.000131793128992678,1.91720148880238,"LF>HF","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Clostridium_XVIII","saccharogumia"
"64","ASV_0124",3.84034551028968e-05,0.000549169407971425,-2.0460976840648,"HF>LF","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","stercoris"
"65","ASV_0125",0.000106206033711684,0.0012656219017309,2.24128345458073,"LF>HF","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Coprobacillus","cateniformis"
"71","ASV_0141",0.00643767642682684,0.0306862576345413,-1.26961114189727,"HF>LF","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Class_Clostridia","Class_Clostridia","Class_Clostridia","Class_Clostridia"
"76","ASV_0152",1.08092382513616e-17,7.72860534972352e-16,-5.09709205137324,"HF>LF","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Family_Prevotellaceae","Family_Prevotellaceae"
"80","ASV_0167",0.00206696778786417,0.0123156830693574,1.91540765319906,"LF>HF","t-test - ALR (tta)","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Genus_Akkermansia"
"81","ASV_0170",0.000208012159950423,0.00198304925819404,-1.46509322498731,"HF>LF","t-test - ALR (tta)","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Family_Bacillaceae_2","Family_Bacillaceae_2"
"88","ASV_0187",0.0104817057200015,0.0416356643877836,1.4514333192889,"LF>HF","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Mucinivorans","Genus_Mucinivorans"
"89","ASV_0188",0.00472031341431179,0.0232760282153995,1.4246071161542,"LF>HF","t-test - ALR (tta)","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Family_Synergistaceae","Family_Synergistaceae"
"95","ASV_0214",0.00860225977355624,0.0369820218562559,0.924572254426554,"LF>HF","t-test - ALR (tta)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","casseliflavus/faecium/gallinarum/saccharolyticus"
"96","ASV_0218",0.000236962172835747,0.00211784941971949,1.81234650217044,"LF>HF","t-test - ALR (tta)","Bacteria","Firmicutes","Bacilli","Class_Bacilli","Class_Bacilli","Class_Bacilli","Class_Bacilli"
"108","ASV_0260",0.00304294604474242,0.0169349653298991,-1.51946120729905,"HF>LF","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","senegalensis"
"115","ASV_0325",1.6158915533872e-05,0.000288840615167963,-1.92592824972509,"HF>LF","t-test - ALR (tta)","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella","Genus_Parasutterella"
"120","ASV_0345",7.04652327457877e-09,2.51913207066191e-07,-3.02465519574669,"HF>LF","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Order_Bacteroidales","Order_Bacteroidales","Order_Bacteroidales"
