"","Feature","pval","pval.adj","log2FC","ordering","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"15","ASV_0017",0.00789443141693232,0.041638207953509,1.12749274989079,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola",NA
"17","ASV_0019",0.00840404197226787,0.041638207953509,1.42233333823347,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Intestinimonas",NA
"19","ASV_0025",0.00352178827747146,0.0285133425676315,1.30603727586079,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella",NA
"30","ASV_0050",0.00030465415147967,0.016603651255642,1.72217020770507,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter",NA
"31","ASV_0052",0.00392385448178415,0.0285133425676315,1.93203829408246,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Paramuribaculum",NA
"37","ASV_0071",0.0088746932277645,0.0420583287750578,1.64216212838318,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium",NA
"44","ASV_0096",0.00148303072705075,0.0222449997834974,1.43457488305239,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes",NA
"46","ASV_0108",0.00831265375834373,0.041638207953509,1.72478969407296,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Stomatobaculum",NA
"56","ASV_0141",0.00639510648834258,0.0387259226238523,1.19012364928871,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Class_Clostridia","Class_Clostridia","Class_Clostridia",NA
"70","ASV_0180",0.00473741241083279,0.0312532473212595,1.58867701687338,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerotignum",NA
"74","ASV_0191",0.0030558551899041,0.0277573513082955,1.53112349930808,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Family_Erysipelotrichaceae",NA
"77","ASV_0211",0.000515730663794001,0.0187382141178487,1.00577559999528,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelatoclostridium",NA
"86","ASV_0249",0.00748096030353272,0.041638207953509,1.09394796201308,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Family_Atopobiaceae",NA
"89","ASV_0293",0.00178314814467986,0.0222449997834974,1.3909119588939,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Butyricicoccus",NA
"92","ASV_0329",0.0048743596739579,0.0312532473212595,1.2528802054571,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Family_Christensenellaceae",NA
"98","ASV_0369",0.00208122975224418,0.0222449997834974,1.01075722464793,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerofilum",NA
"99","ASV_0371",0.00163591225058566,0.0222449997834974,0.87936810513702,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella",NA
"101","ASV_0375",9.61190795216271e-05,0.0104769796678574,1.7211854726306,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Breznakia",NA
"102","ASV_0391",0.00198935463351454,0.0222449997834974,0.888659415011092,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Anaerofustis",NA
"104","ASV_0465",0.00388884738810136,0.0285133425676315,1.10018571945278,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Harryflintia",NA
"106","ASV_0511",0.00224490823503185,0.0222449997834974,0.914642720993901,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Catabacteriaceae","Catabacter",NA
"107","ASV_0528",0.00199748336996657,0.0222449997834974,1.11864920040966,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Amedibacillus",NA
"108","ASV_0558",0.00167207824905663,0.0222449997834974,1.11698169504026,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia",NA
