"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","t-test - ALR (tta)",0.89,0.08,0.06,0.33,0.07,-1.05,0.22,"*"
"2","t-test - CLR (ttc)",0.87,0.09,0.22,0.53,-0.02,-0.66,0.19,"*"
"3","Log t-test (ltt)",0.84,0.07,0.18,0.43,-0.04,-0.29,0.15,"*"
"4","t-test - Rank (ttr)",0.81,0.06,0.24,0.33,-0.13,-0.58,0.17,"*"
"5","Log t-test2 (ltt2)",0.78,0.2,0.5,0.47,-0.37,-0.84,0.15,"*"
"6","Wilcox (wil)",0.74,0.18,0.56,0.43,-0.46,-0.88,0.13,"*"
"7","t-test (ttt)",0.75,0.17,0.54,0.23,-0.48,-0.85,0.07,"*"
"8","Permutation (per)",0.75,0.25,0.63,0.53,-0.5,-0.86,0.13,"*"
"9","Negbinom GLM (neb)",0.79,0.41,0.8,0.83,-0.56,-0.76,-0.23,"*"
"10","Quasi-Poisson GLM (qpo)",0.78,0.22,0.72,0.4,-0.61,-0.86,0.11,"*"
"11","Poisson GLM (poi)",0.77,0.82,0.87,1,-0.61,-0.8,-0.47,"*"
