"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","t-test - Rank (ttr)",0.68,0.25,0.46,0.47,-0.38,-0.51,-0.27,"*"
"2","Log t-test (ltt)",0.64,0.22,0.5,0.47,-0.43,-0.57,-0.22,"*"
"3","t-test - CLR (ttc)",0.69,0.34,0.56,0.53,-0.46,-0.53,-0.27,"*"
"4","Poisson GLM (poi)",0.59,0.91,0.67,1,-0.58,-0.71,-0.37," "
"5","t-test - ALR (tta)",0.53,0.35,0.62,0.33,-0.61,-1,0.28," "
"6","Permutation (per)",0.48,0.47,0.7,0.43,-0.71,-0.89,-0.32," "
"7","Wilcox (wil)",0.45,0.44,0.7,0.33,-0.72,-0.9,-0.47," "
"8","Negbinom GLM (neb)",0.49,0.66,0.71,0.67,-0.72,-0.88,-0.23," "
"9","Quasi-Poisson GLM (qpo)",0.46,0.47,0.71,0.43,-0.73,-0.87,-0.38," "
"10","t-test (ttt)",0.45,0.41,0.73,0.27,-0.74,-0.88,-0.36," "
"11","Log t-test2 (ltt2)",0.47,0.44,0.73,0.4,-0.74,-0.91,-0.36," "
