"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","t-test - CLR (ttc)",0.82,0.08,0,0.27,0.09,-0.67,0.14,"*"
"2","t-test - ALR (tta)",0.9,0.06,0,0.2,0.08,-1.04,0.16,"*"
"3","Log t-test (ltt)",0.8,0.06,0,0.27,0.08,-0.54,0.09,"*"
"4","t-test - Rank (ttr)",0.77,0.05,0,0.2,0.05,-0.4,0.12,"*"
"5","t-test (ttt)",0.7,0.12,0,0.07,0.01,-0.85,0.08,"*"
"6","Log t-test2 (ltt2)",0.72,0.16,0.22,0.27,-0.17,-0.87,0.13,"*"
"7","Quasi-Poisson GLM (qpo)",0.68,0.17,0.32,0.2,-0.28,-0.91,0.1,"*"
"8","Wilcox (wil)",0.62,0.17,0.5,0.27,-0.47,-0.86,0.09,"*"
"9","Permutation (per)",0.62,0.17,0.63,0.27,-0.6,-0.88,0.11,"*"
"10","Poisson GLM (poi)",0.73,0.86,0.87,1,-0.65,-0.77,-0.53,"*"
"11","Negbinom GLM (neb)",0.73,0.36,0.79,0.6,-0.66,-0.9,-0.32,"*"
