"","Feature","pval","pval.adj","log2FC","ordering","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"2","ASV_0003",9.68919363330433e-08,4.65081294398608e-06,-3.92066363758518,"HF_CTRL>LF_CTRL","t-test - CLR (ttc)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae",NA,NA
"4","ASV_0006",0.000488912938227768,0.00234678210349329,1.58216368485459,"LF_CTRL>HF_CTRL","t-test - CLR (ttc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Order_Clostridiales",NA,NA
"7","ASV_0012",0.0188125442440239,0.0392609619005716,1.55964340137313,"LF_CTRL>HF_CTRL","t-test - CLR (ttc)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"8","ASV_0013",1.2869591225819e-05,0.000205913459613104,-3.45375621094971,"HF_CTRL>LF_CTRL","t-test - CLR (ttc)","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae",NA,NA
"9","ASV_0014",0.0106857432700044,0.0244245560457244,-1.0008834155678,"HF_CTRL>LF_CTRL","t-test - CLR (ttc)","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1",NA,NA
"11","ASV_0018",0.000484260160288429,0.00234678210349329,2.5788432299381,"LF_CTRL>HF_CTRL","t-test - CLR (ttc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1",NA,NA
"13","ASV_0024",0.000732506080311272,0.00319639016863101,0.650553419710605,"LF_CTRL>HF_CTRL","t-test - CLR (ttc)","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae",NA,NA
"16","ASV_0029",0.000120354546770181,0.00111315596250536,2.54810190478616,"LF_CTRL>HF_CTRL","t-test - CLR (ttc)","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae",NA,NA
"17","ASV_0040",0.00591684220083683,0.0157782458688982,-0.78689518692659,"HF_CTRL>LF_CTRL","t-test - CLR (ttc)","Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae",NA,NA
"19","ASV_0052",0.00681065255590621,0.0172058590886052,-1.90086441082522,"HF_CTRL>LF_CTRL","t-test - CLR (ttc)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"23","ASV_0078",0.00381552697925355,0.0122096863336114,1.50372652722748,"LF_CTRL>HF_CTRL","t-test - CLR (ttc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XIII",NA,NA
"25","ASV_0100",0.000139144495313169,0.00111315596250536,1.56788875783147,"LF_CTRL>HF_CTRL","t-test - CLR (ttc)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA,NA
"26","ASV_0110",1.25263362952911e-05,0.000205913459613104,2.60937425741232,"LF_CTRL>HF_CTRL","t-test - CLR (ttc)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae",NA,NA
"27","ASV_0141",0.000439721870620691,0.00234678210349329,-1.90383881925398,"HF_CTRL>LF_CTRL","t-test - CLR (ttc)","Bacteria","Firmicutes","Clostridia","Class_Clostridia","Class_Clostridia",NA,NA
"28","ASV_0143",0.00080095347951723,0.00320381391806892,1.43701506282563,"LF_CTRL>HF_CTRL","t-test - CLR (ttc)","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae",NA,NA
"32","ASV_0188",0.00328400683660098,0.0112594520112034,1.2707041736934,"LF_CTRL>HF_CTRL","t-test - CLR (ttc)","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae",NA,NA
"33","ASV_0211",0.00441634433167516,0.0132490329950255,1.93043730110506,"LF_CTRL>HF_CTRL","t-test - CLR (ttc)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelatoclostridiaceae",NA,NA
"34","ASV_0218",0.00871146614360864,0.0209075187446607,0.877648506440702,"LF_CTRL>HF_CTRL","t-test - CLR (ttc)","Bacteria","Firmicutes","Bacilli","Class_Bacilli","Class_Bacilli",NA,NA
"35","ASV_0225",0.00219402256669992,0.00810100640012278,1.23297707162922,"LF_CTRL>HF_CTRL","t-test - CLR (ttc)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae",NA,NA
"37","ASV_0249",0.0123743613926345,0.0269986066748389,-1.71347029408598,"HF_CTRL>LF_CTRL","t-test - CLR (ttc)","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae",NA,NA
"42","ASV_0345",8.35573619551626e-05,0.00100268834346195,-2.6433554081002,"HF_CTRL>LF_CTRL","t-test - CLR (ttc)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Order_Bacteroidales",NA,NA
"45","ASV_0471",0.00523385088016198,0.014777931896928,-0.942866827143278,"HF_CTRL>LF_CTRL","t-test - CLR (ttc)","Bacteria","Actinobacteria","Phylum_Actinobacteria","Phylum_Actinobacteria","Phylum_Actinobacteria",NA,NA
"48","Others",0.000386955305314447,0.00234678210349329,-1.46781475334556,"HF_CTRL>LF_CTRL","t-test - CLR (ttc)",NA,NA,NA,NA,NA,NA,NA
