"","Feature","pval","pval.adj","log2FC","ordering","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"3","ASV_0003",7.81715285802239e-05,0.00201291686094077,-1.49430829667625,"HF_PFOS>LF_PFOS","Log t-test (ltt)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"4","ASV_0005",0.000416189039321123,0.00470814847282713,-0.658053733233991,"HF_PFOS>LF_PFOS","Log t-test (ltt)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"8","ASV_0009",0.00932183399900411,0.0397472777134754,0.919497003818897,"LF_PFOS>HF_PFOS","Log t-test (ltt)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Sellimonas",NA
"10","ASV_0012",0.000173193362298114,0.00297315271945096,0.862941669782253,"LF_PFOS>HF_PFOS","Log t-test (ltt)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella",NA
"11","ASV_0013",2.39907983657155e-07,2.4710522316687e-05,-1.38065240369754,"HF_PFOS>LF_PFOS","Log t-test (ltt)","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA
"22","ASV_0029",0.000621220225597999,0.00533214026971616,0.818905549034441,"LF_PFOS>HF_PFOS","Log t-test (ltt)","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia",NA
"28","ASV_0046",0.00161306999661945,0.0103841381032377,0.620973305530359,"LF_PFOS>HF_PFOS","Log t-test (ltt)","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila",NA
"29","ASV_0050",0.000457101793478362,0.00470814847282713,-0.379835536931377,"HF_PFOS>LF_PFOS","Log t-test (ltt)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter",NA
"40","ASV_0086",2.57799522550222e-06,0.000132766754113365,-1.26359956101503,"HF_PFOS>LF_PFOS","Log t-test (ltt)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Monoglobus",NA
"41","ASV_0087",0.00159234193494856,0.0103841381032377,1.45863390733308,"LF_PFOS>HF_PFOS","Log t-test (ltt)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Longicatena",NA
"47","ASV_0110",0.00299754653256579,0.0162498575186461,1.22628639430084,"LF_PFOS>HF_PFOS","Log t-test (ltt)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA
"49","ASV_0119",0.006041579875413,0.0270557707464147,-1.1393242246804,"HF_PFOS>LF_PFOS","Log t-test (ltt)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Lawsonibacter",NA
"50","ASV_0125",0.0053285721038869,0.0249474057591069,1.57451933745743,"LF_PFOS>HF_PFOS","Log t-test (ltt)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Coprobacillus",NA
