"","Feature","pval","pval.adj","log2FC","ordering","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"3","ASV_0003",1.84591460122498e-06,4.91013283925845e-05,-5.32915298218214,"HF_PFOS>LF_PFOS","t-test - CLR (ttc)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Genus_Prevotella"
"4","ASV_0005",2.84909336140954e-05,0.000394421138808071,-3.75049532610445,"HF_PFOS>LF_PFOS","t-test - CLR (ttc)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","intestinalis"
"5","ASV_0006",0.00171245033674835,0.00948982894948044,1.4632287202644,"LF_PFOS>HF_PFOS","t-test - CLR (ttc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Order_Clostridiales","Order_Clostridiales","Order_Clostridiales"
"8","ASV_0009",0.00525959474581946,0.0209044406607409,3.46816503303698,"LF_PFOS>HF_PFOS","t-test - CLR (ttc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Sellimonas","Genus_Sellimonas"
"10","ASV_0012",1.68029595066692e-06,4.91013283925845e-05,3.11888411114556,"LF_PFOS>HF_PFOS","t-test - CLR (ttc)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella","albertii/boydii/coli/coli,/dysenteriae/fergusonii/flexneri/sonnei/vulneris"
"11","ASV_0013",1.13860996670432e-07,1.51435125571675e-05,-4.31164241920597,"HF_PFOS>LF_PFOS","t-test - CLR (ttc)","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","animalis"
"18","ASV_0021",0.0149078180264639,0.0482787212923202,1.68651139089997,"LF_PFOS>HF_PFOS","t-test - CLR (ttc)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","acidophilus/gasseri/johnsonii/taiwanensis"
"23","ASV_0029",0.000152706401189139,0.00156230395062735,2.34303831034394,"LF_PFOS>HF_PFOS","t-test - CLR (ttc)","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","Genus_Rothia"
"30","ASV_0043",0.000294133659942221,0.0021733209317953,1.84370141135611,"LF_PFOS>HF_PFOS","t-test - CLR (ttc)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","goldsteinii"
"32","ASV_0046",5.6500175420102e-06,0.000125242055514559,2.99039180441918,"LF_PFOS>HF_PFOS","t-test - CLR (ttc)","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila","wadsworthia"
"33","ASV_0050",0.00169833041804615,0.00948982894948044,-1.11755969354143,"HF_PFOS>LF_PFOS","t-test - CLR (ttc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter","Genus_Oscillibacter"
"43","ASV_0074",0.00490942377076263,0.0204047925472322,0.766860059836724,"LF_PFOS>HF_PFOS","t-test - CLR (ttc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae_1","Peptococcus","Genus_Peptococcus"
"46","ASV_0082",0.00696400441623243,0.0257281274266365,-2.35286069080657,"HF_PFOS>LF_PFOS","t-test - CLR (ttc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","Genus_Ruminococcus"
