"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","EdgeR qll - RLE (erq2)",0.84,0.09,0,0.23,0.08,-0.56,0.1,"*"
"2","LIMMA voom (vli)",0.79,0.04,0,0.2,0.06,-0.37,0.13,"*"
"3","EdgeR qll - TMM (erq)",0.84,0.09,0,0.17,0.06,-0.63,0.09,"*"
"4","baySeq (bay)",0.75,0,0,0.17,0.04,-0.54,0.05,"*"
"5","Log LIMMA (lli)",0.77,0.05,0,0.13,0.04,-0.13,0.11,"*"
"6","LIMMA - CLR (lic)",0.78,0.05,0,0.1,0.03,-0.12,0.17,"*"
"7","MgSeq Feature (msf)",0.82,0.02,0,0.07,0.02,-0.91,0.04,"*"
"8","t-test - CLR (ttc)",0.74,0.05,0,0.07,0.02,-0.2,0.04,"*"
"9","ALDEx2 wilcox (adx)",0.74,0.03,0,0.07,0.02,-0.94,0.11,"*"
"10","Log t-test (ltt)",0.74,0.06,0,0.03,0.01,-1,0.05,"*"
"11","Log LIMMA 2 (lli2)",0.71,0.05,0,0.03,0.01,-0.93,0.09,"*"
"12","t-test - Rank (ttr)",0.7,0.05,0,0.03,0.01,-0.84,0.12,"*"
"13","Quasi-Poisson GLM (qpo)",0.65,0.05,0,0,0,0,0,"*"
"14","t-test (ttt)",0.67,0.02,0,0,0,0,0,"*"
"15","LIMMA - ALR (lia)",0.8,0.03,0,0,0,-1.06,0.29,"*"
"16","t-test - ALR (tta)",0.77,0.05,0,0,0,-1.02,0.05,"*"
"17","Permutation (per)",0.64,0.07,0,0,0,-0.97,0.07,"*"
"18","Log t-test2 (ltt2)",0.7,0.03,0,0,0,-0.89,0.12,"*"
"19","ALDEx2 t-test (adx)",0.71,0.03,0,0,0,-0.86,0.08,"*"
"20","Wilcox (wil)",0.69,0.05,0,0,0,-0.67,0.12,"*"
"21","SAMseq (sam)",0.87,NA,0.21,0.47,-0.03,-0.7,0.18,"*"
"22","EdgeR exact - TMM (ere)",0.85,0.09,0.22,0.3,-0.12,-0.67,0.07,"*"
"23","EdgeR exact - RLE (ere2)",0.84,0.09,0.21,0.23,-0.13,-0.67,0.06,"*"
"24","MgSeq ZIG (zig)",0.83,0.09,0.21,0.23,-0.13,-0.58,0.06,"*"
"25","DESeq2 (ds2x)",0.76,0.11,0.3,0.47,-0.18,-0.58,0.22,"*"
"26","DESeq2 man. geoMeans (ds2)",0.77,0.1,0.36,0.43,-0.24,-0.69,0.07,"*"
"27","Negbinom GLM (neb)",0.69,0.27,0.72,0.6,-0.6,-0.89,-0.34," "
"28","Poisson GLM (poi)",0.7,0.82,0.86,1,-0.66,-0.75,-0.54," "
"29","ZI-NegBin GLM (znb)",0.57,0.16,0.72,0.33,-0.7,-0.91,-0.41," "
"30","ZI-Poisson GLM (zpo)",0.57,0.42,0.85,0.53,-0.81,-0.92,-0.61," "
