"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","t-test - ALR (tta)",0.51,0.02,0,0,0,-1,0,"*"
"2","t-test (ttt)",0.4,0.24,0.12,0,-0.12,-1,0,"*"
"3","t-test - CLR (ttc)",0.69,0.3,0.47,0.47,-0.38,-0.51,-0.08,"*"
"4","t-test - Rank (ttr)",0.66,0.24,0.44,0.33,-0.38,-0.57,0.04,"*"
"5","Log t-test (ltt)",0.66,0.26,0.46,0.4,-0.39,-1,0.08,"*"
"6","Poisson GLM (poi)",0.55,0.93,0.64,0.93,-0.59,-0.73,-0.44,"*"
"7","Quasi-Poisson GLM (qpo)",0.4,0.37,0.67,0.13,-0.68,-1,0,"*"
"8","Negbinom GLM (neb)",0.41,0.7,0.69,0.53,-0.74,-0.91,-0.25,"*"
"9","Log t-test2 (ltt2)",0.4,0.43,0.76,0.17,-0.77,-0.96,-0.34,"*"
"10","Permutation (per)",0.34,0.48,0.76,0.23,-0.8,-0.94,-0.11,"*"
"11","Wilcox (wil)",0.35,0.44,0.79,0.17,-0.82,-1,-0.4,"*"
