"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","t-test - Rank (ttr)",0.84,0.08,0,0.27,0.09,-0.58,0.2,"*"
"2","Log t-test (ltt)",0.84,0.07,0,0.2,0.07,-0.79,0.19,"*"
"3","Quasi-Poisson GLM (qpo)",0.71,0.11,0,0.07,0.01,-0.96,0.02,"*"
"4","t-test - ALR (tta)",0.89,0.01,0,0,0,0,0.06,"*"
"5","t-test (ttt)",0.69,0.09,0,0,0,-0.31,0.02,"*"
"6","t-test - CLR (ttc)",0.86,0.07,0.15,0.37,-0.01,-0.41,0.2,"*"
"7","Log t-test2 (ltt2)",0.71,0.14,0.1,0.07,-0.09,-0.86,0.05,"*"
"8","Wilcox (wil)",0.7,0.14,0.12,0.13,-0.1,-0.86,0.07,"*"
"9","Permutation (per)",0.67,0.16,0.31,0.2,-0.28,-0.91,0.07,"*"
"10","Negbinom GLM (neb)",0.73,0.43,0.73,0.67,-0.58,-0.86,-0.38,"*"
"11","Poisson GLM (poi)",0.74,0.85,0.82,1,-0.59,-0.73,-0.53," "
