"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","t-test - CLR (ttc)",0.77,0.07,0,0.2,0.05,-0.71,0.16,"*"
"2","Log t-test2 (ltt2)",0.75,0.05,0,0.07,0.02,-1,0.06,"*"
"3","t-test - Rank (ttr)",0.73,0.05,0,0.07,0.02,-0.48,0.1,"*"
"4","t-test - ALR (tta)",0.83,0.04,0,0.03,0.01,-1,0.03,"*"
"5","Permutation (per)",0.63,0.07,0,0,0,-1,0.04,"*"
"6","Quasi-Poisson GLM (qpo)",0.76,0.07,0,0,0,-1,0.02,"*"
"7","t-test (ttt)",0.75,0.04,0,0,0,-1,0,"*"
"8","Wilcox (wil)",0.74,0.05,0,0,0,-0.83,0.07,"*"
"9","Log t-test (ltt)",0.72,0.05,0,0,0,-0.18,0.02,"*"
"10","Negbinom GLM (neb)",0.74,0.35,0.75,0.73,-0.57,-1.02,-0.33,"*"
"11","Poisson GLM (poi)",0.75,0.81,0.86,1,-0.62,-0.82,-0.48,"*"
