"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","t-test (ttt)",0.4,0.15,0,0,0,-1,0.02,"*"
"2","t-test - ALR (tta)",0.34,0.21,0,0,0,-1,0,"*"
"3","Log t-test (ltt)",0.6,0.17,0.33,0.2,-0.31,-0.65,0.02,"*"
"4","t-test - CLR (ttc)",0.66,0.2,0.41,0.2,-0.38,-0.67,0.02,"*"
"5","t-test - Rank (ttr)",0.64,0.2,0.5,0.13,-0.48,-1,0.01,"*"
"6","Poisson GLM (poi)",0.55,0.93,0.67,0.93,-0.62,-0.72,-0.46,"*"
"7","Log t-test2 (ltt2)",0.42,0.25,0.63,0.07,-0.64,-1,0,"*"
"8","Quasi-Poisson GLM (qpo)",0.42,0.23,0.75,0,-0.75,-1,0,"*"
"9","Negbinom GLM (neb)",0.41,0.6,0.72,0.47,-0.76,-0.94,-0.55,"*"
"10","Permutation (per)",0.44,0.37,0.83,0.07,-0.84,-1,0,"*"
"11","Wilcox (wil)",0.36,0.3,0.85,0.07,-0.85,-1,0.01,"*"
