"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","t-test - CLR (ttc)",0.78,0.05,0,0.2,0.06,-0.64,0.15,"*"
"2","t-test - Rank (ttr)",0.78,0.04,0,0.13,0.04,-0.46,0.06,"*"
"3","Log t-test (ltt)",0.76,0.05,0,0.07,0.02,-0.68,0.05,"*"
"4","Permutation (per)",0.61,0.1,0,0.1,0.01,-0.88,0.04,"*"
"5","t-test (ttt)",0.71,0.03,0,0,0,0,0.02,"*"
"6","t-test - ALR (tta)",0.84,0.07,0,0,0,-1,0.11,"*"
"7","Log t-test2 (ltt2)",0.72,0.05,0,0,0,-1,0.1,"*"
"8","Wilcox (wil)",0.68,0.07,0,0,0,-0.83,0.06,"*"
"9","Quasi-Poisson GLM (qpo)",0.69,0.07,0,0,0,-0.05,0.05,"*"
"10","Negbinom GLM (neb)",0.72,0.32,0.74,0.63,-0.6,-0.88,-0.26,"*"
"11","Poisson GLM (poi)",0.73,0.84,0.84,1,-0.61,-0.81,-0.5,"*"
