"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","t-test - CLR (ttc)",0.78,0.05,0,0.23,0.06,-0.31,0.13,"*"
"2","t-test - Rank (ttr)",0.77,0.03,0,0.17,0.05,-0.49,0.12,"*"
"3","Log t-test2 (ltt2)",0.71,0.06,0,0.07,0.01,-0.86,0.05,"*"
"4","Permutation (per)",0.64,0.1,0,0.03,0,-1,0.05,"*"
"5","t-test (ttt)",0.67,0.04,0,0,0,0,0.01,"*"
"6","t-test - ALR (tta)",0.62,0.05,0,0,0,-1,0.1,"*"
"7","Quasi-Poisson GLM (qpo)",0.68,0.07,0,0,0,-0.82,0.03,"*"
"8","Wilcox (wil)",0.69,0.06,0,0,0,-0.5,0.03,"*"
"9","Log t-test (ltt)",0.75,0.01,0,0,0,-0.49,0.04,"*"
"10","Negbinom GLM (neb)",0.73,0.4,0.73,0.67,-0.58,-0.75,-0.32," "
"11","Poisson GLM (poi)",0.72,0.88,0.82,1,-0.6,-0.8,-0.49," "
