"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","t-test - ALR (tta)",0.9,0.04,0,0.13,0.05,-0.99,0.33,"*"
"2","t-test (ttt)",0.56,0.19,0,0,0,-1,0.02,"*"
"3","t-test - CLR (ttc)",0.68,0.3,0.46,0.47,-0.38,-0.61,-0.22,"*"
"4","t-test - Rank (ttr)",0.66,0.24,0.44,0.33,-0.39,-0.62,0,"*"
"5","Log t-test (ltt)",0.65,0.22,0.45,0.17,-0.43,-0.71,0.03,"*"
"6","Log t-test2 (ltt2)",0.59,0.22,0.47,0.17,-0.46,-1,0.09,"*"
"7","Wilcox (wil)",0.61,0.19,0.54,0.13,-0.53,-1,0.08,"*"
"8","Poisson GLM (poi)",0.59,0.89,0.63,0.93,-0.55,-0.75,-0.36,"*"
"9","Negbinom GLM (neb)",0.56,0.52,0.59,0.67,-0.55,-0.95,-0.3,"*"
"10","Permutation (per)",0.57,0.28,0.59,0.23,-0.57,-0.97,0.03,"*"
"11","Quasi-Poisson GLM (qpo)",0.54,0.3,0.62,0.13,-0.62,-1,0.01,"*"
