"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","t-test - Rank (ttr)",0.74,0.04,0,0.17,0.04,-0.37,0.07,"*"
"2","t-test - ALR (tta)",0.8,0.05,0,0.03,0.01,-1.01,0.15,"*"
"3","Permutation (per)",0.53,0.16,0,0,0,-1,0.06,"*"
"4","Quasi-Poisson GLM (qpo)",0.61,0.14,0,0,0,-1,0.06,"*"
"5","Log t-test2 (ltt2)",0.62,0.14,0,0,0,-1,0.06,"*"
"6","Wilcox (wil)",0.55,0.13,0,0,0,-1,0.02,"*"
"7","t-test (ttt)",0.65,0.09,0,0,0,-1,0.02,"*"
"8","Log t-test (ltt)",0.7,0.04,0,0,0,-0.6,0.04,"*"
"9","t-test - CLR (ttc)",0.75,0.07,0.17,0.23,-0.11,-1,0.07,"*"
"10","Poisson GLM (poi)",0.7,0.85,0.83,1,-0.64,-0.86,-0.54," "
"11","Negbinom GLM (neb)",0.65,0.47,0.8,0.67,-0.7,-0.94,-0.33," "
