"","Feature","pval","pval.adj","log2FC","ordering","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"3","ASV_0003",6.919783401588e-05,0.00420158538829256,6.16825522081801,"B_CTRL>A_CTRL","t-test - CLR (ttc)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Genus_Prevotella"
"4","ASV_0005",0.00589831384522733,0.0409777593457899,3.32485971567409,"B_CTRL>A_CTRL","t-test - CLR (ttc)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","intestinalis"
"13","ASV_0016",0.00363199718214037,0.0319615752028353,-2.84138871989848,"A_CTRL>B_CTRL","t-test - CLR (ttc)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","intestinalis"
"14","ASV_0018",0.00203503916393733,0.0206634745876713,-4.85543272400963,"A_CTRL>B_CTRL","t-test - CLR (ttc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Family_Clostridiaceae_1","Family_Clostridiaceae_1"
"21","ASV_0029",0.0019308317411305,0.0206634745876713,-2.35768998944454,"A_CTRL>B_CTRL","t-test - CLR (ttc)","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","Genus_Rothia"
"31","ASV_0046",0.000288829935245053,0.0076251102904694,-2.86432910048783,"A_CTRL>B_CTRL","t-test - CLR (ttc)","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila","wadsworthia"
"48","ASV_0090",0.000184128591399629,0.00607624351618774,-0.744373915546489,"A_CTRL>B_CTRL","t-test - CLR (ttc)","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Family_Desulfovibrionaceae","Family_Desulfovibrionaceae"
"56","ASV_0114",0.000715293059591162,0.0153493697895875,2.1600275537887,"B_CTRL>A_CTRL","t-test - CLR (ttc)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","obesi"
"60","ASV_0124",0.000813981731266005,0.0153493697895875,1.98481380355696,"B_CTRL>A_CTRL","t-test - CLR (ttc)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","stercoris"
"62","ASV_0128",0.00459483836724734,0.0379074165297905,-2.02772481669518,"A_CTRL>B_CTRL","t-test - CLR (ttc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Pseudoflavonifractor","Genus_Pseudoflavonifractor"
"65","ASV_0141",2.98189489638351e-05,0.00393610126322623,2.46607121455975,"B_CTRL>A_CTRL","t-test - CLR (ttc)","Bacteria","Firmicutes","Clostridia","Class_Clostridia","Class_Clostridia","Class_Clostridia","Class_Clostridia"
"66","ASV_0143",0.00585614953036236,0.0409777593457899,-1.99854030409592,"A_CTRL>B_CTRL","t-test - CLR (ttc)","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","epidermidis/haemolyticus/petrasii"
"71","ASV_0154",0.00101409185482807,0.0167325156046631,-2.39118152424645,"A_CTRL>B_CTRL","t-test - CLR (ttc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus","Genus_Anaerotruncus"
"73","ASV_0162",0.00148318999700292,0.0206634745876713,3.54076627975596,"B_CTRL>A_CTRL","t-test - CLR (ttc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerofilum","Genus_Anaerofilum"
"88","ASV_0203",0.00781432217482526,0.049118596527473,-1.97290987143515,"A_CTRL>B_CTRL","t-test - CLR (ttc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae_1","Family_Peptococcaceae_1","Family_Peptococcaceae_1"
"90","ASV_0214",0.00725028251385746,0.0478518645914593,-2.6691997307905,"A_CTRL>B_CTRL","t-test - CLR (ttc)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","casseliflavus/faecium/gallinarum/saccharolyticus"
"91","ASV_0218",0.00186793184796848,0.0206634745876713,-1.74329609170964,"A_CTRL>B_CTRL","t-test - CLR (ttc)","Bacteria","Firmicutes","Bacilli","Class_Bacilli","Class_Bacilli","Class_Bacilli","Class_Bacilli"
"99","ASV_0249",9.54905770066491e-05,0.00420158538829256,3.95749684444256,"B_CTRL>A_CTRL","t-test - CLR (ttc)","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Family_Atopobiaceae","Family_Atopobiaceae"
"108","ASV_0325",0.00311041267335359,0.0293267480630482,1.66211829566581,"B_CTRL>A_CTRL","t-test - CLR (ttc)","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella","Genus_Parasutterella"
"113","ASV_0345",0.00516796282185502,0.040127711322639,1.99693673685631,"B_CTRL>A_CTRL","t-test - CLR (ttc)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Order_Bacteroidales","Order_Bacteroidales","Order_Bacteroidales"
"130","ASV_0558",0.00195509662868153,0.0206634745876713,1.04354331352395,"B_CTRL>A_CTRL","t-test - CLR (ttc)","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Genus_Adlercreutzia"
