Phylum	Class	Order	Family	Genus	Species	OTU	contaminant	Control	Mock	Sample
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	acidophilus/gasseri/johnsonii/taiwanensis	ASV_0021	FALSE	0.108839620265077	0.00328430225721306	1.05470091326829
Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	aeruginosa/alcaligenes/alcaliphila/anguilliseptica/azelaica/balearica/citronellolis/delhiensis/denitrificans/fluorescens/fragi/guezennei/knackmussii/mendocina/mosselii/nitroreducens/otitidis/panipatensis/peli/pseudoalcaligenes/putida/resinovorans/sp/stutzeri/thermaerum/tropicalis	ASV_0069	FALSE	0.140996722475214	5.47704127132422	0.00119735387815278
Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	aestuarii/alcaliphilus/alkenifer/aminophilus/aminovorans/beibuensis/caeni/carotinifaciens/chinensis/denitrificans/fistulariae/haeundaensis/homiensis/huijuniae/isoporae/kamogawaensis/koreensis/limosus/lutimaris/marcusii/marinus/panacisoli/saliphilus/sediminis/siganidrum/sphaerophysae/stylophorae/tibetensis/yeei	ASV_0630	FALSE	0.154627074463428	0	0
Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia/Shigella	albertii/boydii/coli/coli,/dysenteriae/fergusonii/flexneri/sonnei/vulneris	ASV_0012	FALSE	0.476536013631108	8.60206736322106	0.893887061198069
Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	alkalitolerans/amyloliquefaciens/anthracis/bombysepticus/cereus/cerus/circulans/coagulans/gaemokensis/licheniformis/marcorestinctum/marisflavi/megaterium/mycoides/nealsonii/pseudomycoides/pumilus/salmalaya/samanii/stratosphericus/subtilis/tequilensis/thuringiensis/toyonensis/weihenstephanensis	ASV_0840	FALSE	0.00745067652142815	0	0
Actinobacteria	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	amycolatum	ASV_0237	FALSE	0.0076499388004896	0	0.0143896646838061
Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	animalis	ASV_0013	FALSE	0.219711767926785	0.0137811591526084	1.35746131683709
Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	argenteus/aureus/equorum/haemolyticus/lugdunensis/simiae	ASV_0036	FALSE	0.256075041247966	12.7434173394308	0.0208616263887289
Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	aureus	ASV_0101	FALSE	0.0608758432325579	2.38573124890475	0.000487631209380724
Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	aureus/cohnii/lugdunensis/nepalensis	ASV_0243	FALSE	0.013500221789358	0.000201251786109602	0.0129545265963254
Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	aureus/saccharolyticus/sciuri/xylosus	ASV_0698	FALSE	0	0	0.000284350051813503
Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	australis/cristatus/dentisani/infantis/mitis/oligofermentans/oralis/parasanguinis/peroris/pneumoniae/pseudopneumoniae/pyogenes/rubneri/salivarius/sanguinis/tigurinus	ASV_0703	FALSE	0.0376077606989258	0.000460345202394172	3.17539081287551e-05
Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	avium/gilvus	ASV_0309	FALSE	0	0	0.0105333856062877
Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	biformis	ASV_0027	FALSE	0.115488927809596	0.00159299886245599	0.904009329303072
Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	biformis	ASV_0111	FALSE	0.00412959720322882	0	0.111714721988961
Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	bouvetii/johnsonii	ASV_0745	FALSE	0.0308576498042468	0	0
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	butyriciproducens	ASV_0251	FALSE	0.00192860311276542	0	0.0178556138331598
Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	capitis/caprae/epidermidis	ASV_0791	FALSE	0.0349711488022382	0	0
Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	casseliflavus/faecium/gallinarum/saccharolyticus	ASV_0214	FALSE	0	0.000302052750492346	0.0227992926032943
Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	cateniformis	ASV_0125	FALSE	0.00149013530428563	0	0.0706336648129473
Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Chitinophaga	cf.	ASV_0829	FALSE	0.0206095267537419	0	0
Firmicutes	Bacilli	Class_Bacilli	Class_Bacilli	Class_Bacilli	Class_Bacilli	ASV_0218	FALSE	0	0.000393051459827508	0.0215483310892303
Firmicutes	Clostridia	Class_Clostridia	Class_Clostridia	Class_Clostridia	Class_Clostridia	ASV_0141	FALSE	0.0183288668272539	0.000101994190410914	0.05638186662849
